	Node	Degree-Centrality	Betweenness-Centrality
0	Abg. Dr. Toman	0.7368421052631579	0.04532163742690058
1	Abg. Anton Graf Auersperg	0.3157894736842105	0.0
2	Abg. v. Strahl	0.6842105263157894	0.02884990253411306
3	Abg. Brolich	0.5789473684210527	0.011306042884990253
4	Abg. Dr. Bleiweiö	0.3157894736842105	0.0
5	Landes-Chef	0.2631578947368421	0.0
6	Abg. Dr. BleiweiS	0.47368421052631576	0.0
7	Präsident	1.0	0.2184210526315789
8	Abg. Krom er	0.47368421052631576	0.0
9	Abg. Dr. v. Wurzbach	0.47368421052631576	0.012183235867446391
10	Abg. Guttman	0.47368421052631576	0.0
11	Abg. Vilhar	0.3157894736842105	0.0
12	Abg. Dr. Suppan	0.894736842105263	0.09054580896686161
13	Abg. Derbitsch	0.05263157894736842	0.0
14	Abg. Dr. Bleiweis	0.5263157894736842	0.021832358674463936
15	Abg. Baron Apfaltern	0.5789473684210527	0.013937621832358676
16	Abg. Mulley	0.3157894736842105	0.0
17	Abg. Koren	0.3157894736842105	0.0
18	Abg. Kromer	0.2631578947368421	0.0
19	Abg. Ambrosch	0.9473684210526315	0.11315789473684212
